,signal,feeder,pump
06-05-2019-13:46:28,play,,
06-05-2019-13:46:42,play,,
06-05-2019-13:46:57,,,2
06-05-2019-13:46:59,,b'1',
06-05-2019-13:47:00,,b'1',
06-05-2019-13:47:02,,b'1',
06-05-2019-13:47:04,play,,
06-05-2019-13:47:19,,,no
06-05-2019-13:47:21,,b'1',
06-05-2019-13:47:22,,b'1',
06-05-2019-13:47:23,,b'1',
06-05-2019-13:47:24,,b'1',
06-05-2019-13:47:26,play,,
06-05-2019-13:47:41,,,no
06-05-2019-13:47:43,,b'1',
06-05-2019-13:47:44,,b'1',
06-05-2019-13:47:45,,b'2',
06-05-2019-13:47:46,,b'2',
06-05-2019-13:47:48,play,,
06-05-2019-13:48:03,,,no
06-05-2019-13:48:05,,b'2',
06-05-2019-13:48:06,,b'2',
06-05-2019-13:48:08,play,,
