,signal,feeder,pump
08-05-2019-15:57:42,play,b'',
08-05-2019-15:57:45,,b'',
08-05-2019-15:57:46,,b'',
08-05-2019-15:57:47,,b'',
08-05-2019-15:57:48,,b'',
08-05-2019-15:57:49,,b'1',2
08-05-2019-15:57:50,,b'',
08-05-2019-15:57:51,,b'',
08-05-2019-15:57:52,,b'',
08-05-2019-15:57:53,,b'1',
08-05-2019-15:57:54,,b'',
08-05-2019-15:57:55,play,b'',
08-05-2019-15:57:57,,b'2',1
08-05-2019-15:57:58,,b'',
08-05-2019-15:57:59,,b'',
08-05-2019-15:58:00,,b'',
08-05-2019-15:58:01,,b'2',
08-05-2019-15:58:02,,b'',
08-05-2019-15:58:03,,b'',
08-05-2019-15:58:04,,b'',
08-05-2019-15:58:05,,b'',
08-05-2019-15:58:06,,b'',
08-05-2019-15:58:07,,b'1',
08-05-2019-15:58:08,play,b'',
08-05-2019-15:58:10,,b'1',2
08-05-2019-15:58:11,,b'',
08-05-2019-15:58:12,,b'',
08-05-2019-15:58:13,,b'1',
08-05-2019-15:58:14,,b'',
08-05-2019-15:58:15,,b'',
08-05-2019-15:58:16,,b'1',
08-05-2019-15:58:17,,b'',
08-05-2019-15:58:18,,b'',
08-05-2019-15:58:19,,b'1',
08-05-2019-15:58:20,play,b'',
08-05-2019-15:58:22,,b'1',2
08-05-2019-15:58:23,,b'',
08-05-2019-15:58:24,,b'',
08-05-2019-15:58:25,,b'1',
08-05-2019-15:58:26,,b'',
08-05-2019-15:58:27,,b'',
08-05-2019-15:58:29,,b'1',
08-05-2019-15:58:30,,b'',
08-05-2019-15:58:31,,b'',
08-05-2019-15:58:32,,b'1',
08-05-2019-15:58:33,play,b'',
08-05-2019-15:58:35,,b'1',2
08-05-2019-15:58:36,,b'',
08-05-2019-15:58:37,,b'',
08-05-2019-15:58:38,,b'1',
08-05-2019-15:58:39,,b'',
08-05-2019-15:58:40,,b'',
08-05-2019-15:58:41,,b'1',
08-05-2019-15:58:42,,b'',
08-05-2019-15:58:43,,b'',
08-05-2019-15:58:44,,b'',
08-05-2019-15:58:45,play,b'',
08-05-2019-15:58:48,,b'',
08-05-2019-15:58:49,,b'',
08-05-2019-15:58:50,,b'',
