,signal,bat_id_1,bat_id_2,feeder,pump,condition
05-11-2019-23:30:32,,,,no_bat,,L reward
05-11-2019-23:30:33,play,,,,,L reward
05-11-2019-23:30:34,,,,no_bat,,L reward
05-11-2019-23:30:35,,,,no_bat,,L reward
05-11-2019-23:30:36,,,,no_bat,,L reward
05-11-2019-23:30:37,,,,no_bat,,L reward
05-11-2019-23:30:38,,,,no_bat,,L reward
05-11-2019-23:30:39,,,,no_bat,,L reward
05-11-2019-23:30:40,,,,no_bat,,L reward
05-11-2019-23:30:41,,,,no_bat,,L reward
05-11-2019-23:30:42,,,,no_bat,,L reward
05-11-2019-23:30:43,,,,no_bat,,L reward
05-11-2019-23:30:44,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:45,,['307410CD2C040B4000000001'],,b'101',no 1,L reward
05-11-2019-23:30:46,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:47,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:48,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:49,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:50,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:51,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:52,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:53,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:54,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:55,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:56,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:57,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:58,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:30:59,,['307410CD2C040B4000000001'],,b'101',,L reward
05-11-2019-23:31:00,,['307410CD2C040B4000000001'],,b'102',,L reward
05-11-2019-23:31:01,,['307410CD2C040B4000000001'],,b'102',,L reward
05-11-2019-23:31:02,,['307410CD2C040B4000000001'],,b'102',,L reward
05-11-2019-23:31:03,,['307410CD2C040B4000000001'],,b'102',,L reward
05-11-2019-23:31:04,,['307410CD2C040B4000000001'],,b'102',,L reward
05-11-2019-23:31:05,play,,,no_bat,,L reward
05-11-2019-23:31:06,,,,no_bat,,L reward
05-11-2019-23:31:07,,,,no_bat,,L reward
