time,signal,feeder,pump,condition
20-10-2019-15:08:12,play,b'',,R reward
20-10-2019-15:08:22,,b'',,R reward
20-10-2019-15:08:32,play,b'',,R reward
20-10-2019-15:08:42,,b'',,R reward
20-10-2019-15:08:52,play,b'',,R reward
20-10-2019-15:09:02,,b'',,R reward
20-10-2019-15:09:12,play,b'',,R reward
20-10-2019-15:09:22,,b'',,R reward
20-10-2019-15:09:32,play,b'',,R reward
20-10-2019-15:09:42,,b'',,R reward
20-10-2019-15:09:52,play,b'',,R reward
20-10-2019-15:10:02,,b'',,R reward
20-10-2019-15:10:12,play,b'',,R reward
20-10-2019-15:10:22,,b'',,R reward
20-10-2019-15:10:32,play,b'',,R reward
20-10-2019-15:10:42,,b'',,R reward
20-10-2019-15:10:52,play,b'',,R reward
20-10-2019-15:11:02,,b'',,R reward
20-10-2019-15:11:12,play,b'',,R reward
20-10-2019-15:11:22,,b'',,R reward
20-10-2019-15:11:32,play,b'',,R reward
20-10-2019-15:11:42,,b'',,R reward
20-10-2019-15:11:52,play,b'',,R reward
20-10-2019-15:12:02,,b'',,R reward
20-10-2019-15:12:12,play,b'',,R reward
20-10-2019-15:12:22,,b'',,R reward
20-10-2019-15:12:32,play,b'',,R reward
20-10-2019-15:12:42,,b'',,R reward
20-10-2019-15:12:52,play,b'',,R reward
20-10-2019-15:13:02,,b'',,R reward
20-10-2019-15:13:12,play,b'',,R reward
20-10-2019-15:13:22,,b'',,R reward
20-10-2019-15:13:32,play,b'',,R reward
20-10-2019-15:13:42,,b'',,R reward
20-10-2019-15:13:52,play,b'',,R reward
20-10-2019-15:14:02,,b'',,R reward
20-10-2019-15:14:12,play,b'',,R reward
20-10-2019-15:14:22,,b'',,R reward
20-10-2019-15:14:33,play,b'',,R reward
20-10-2019-15:14:43,,b'',,R reward
20-10-2019-15:14:53,play,b'',,R reward
20-10-2019-15:15:03,,b'',,R reward
20-10-2019-15:15:13,play,b'',,R reward
20-10-2019-15:15:23,,b'',,R reward
20-10-2019-15:15:33,play,b'',,R reward
20-10-2019-15:15:43,,b'',,R reward
20-10-2019-15:15:53,play,b'',,R reward
20-10-2019-15:16:03,,b'',,R reward
20-10-2019-15:16:13,play,b'',,R reward
20-10-2019-15:16:23,,b'',,R reward
20-10-2019-15:16:33,play,b'',,R reward
20-10-2019-15:16:43,,b'',,R reward
20-10-2019-15:16:53,play,b'',,R reward
20-10-2019-15:17:03,,b'',,R reward
20-10-2019-15:17:13,play,b'',,R reward
20-10-2019-15:17:23,,b'',,R reward
20-10-2019-15:17:33,play,b'',,R reward
20-10-2019-15:17:43,,b'',,R reward
20-10-2019-15:17:53,play,b'',,R reward
20-10-2019-15:18:03,,b'',,R reward
20-10-2019-15:18:13,play,b'',,R reward
20-10-2019-15:18:23,,b'',,R reward
20-10-2019-15:18:33,play,b'',,R reward
20-10-2019-15:18:43,,b'',,R reward
20-10-2019-15:18:53,play,b'',,R reward
20-10-2019-15:19:03,,b'',,R reward
20-10-2019-15:19:13,play,b'',,R reward
20-10-2019-15:19:23,,b'',,R reward
20-10-2019-15:19:33,play,b'',,R reward
20-10-2019-15:19:43,,b'',,R reward
20-10-2019-15:19:53,play,b'',,R reward
20-10-2019-15:20:03,,b'',,R reward
20-10-2019-15:20:13,play,b'',,R reward
20-10-2019-15:20:23,,b'',,R reward
20-10-2019-15:20:33,play,b'',,R reward
20-10-2019-15:20:43,,b'',,R reward
20-10-2019-15:20:53,play,b'',,R reward
20-10-2019-15:21:03,,b'',,R reward
20-10-2019-15:21:13,play,b'',,R reward
20-10-2019-15:21:23,,b'',,R reward
20-10-2019-15:21:33,play,b'',,R reward
20-10-2019-15:21:43,,b'',,R reward
20-10-2019-15:21:53,play,b'',,R reward
20-10-2019-15:22:03,,b'',,R reward
20-10-2019-15:22:13,play,b'',,R reward
20-10-2019-15:22:23,,b'',,R reward
20-10-2019-15:22:33,play,b'',,R reward
20-10-2019-15:22:43,,b'',,R reward
20-10-2019-15:22:53,play,b'',,R reward
20-10-2019-15:23:03,,b'',,R reward
20-10-2019-15:23:13,play,b'',,R reward
20-10-2019-15:23:23,,b'',,R reward
20-10-2019-15:23:33,play,b'',,R reward
20-10-2019-15:23:43,,b'',,R reward
20-10-2019-15:23:53,play,b'',,R reward
20-10-2019-15:24:03,,b'',,R reward
20-10-2019-15:24:13,play,b'',,R reward
20-10-2019-15:24:23,,b'',,R reward
20-10-2019-15:24:33,play,b'',,R reward
20-10-2019-15:24:43,,b'',,R reward
20-10-2019-15:24:54,,b'',,R reward
20-10-2019-15:24:55,play,,,R reward
20-10-2019-15:25:05,,b'',,R reward
20-10-2019-15:25:16,play,b'',,R reward
20-10-2019-15:25:26,,b'',,R reward
20-10-2019-15:25:36,play,b'',,R reward
20-10-2019-15:25:46,,b'',,R reward
20-10-2019-15:25:56,play,b'',,R reward
20-10-2019-15:26:06,,b'',,R reward
20-10-2019-15:26:16,play,b'',,R reward
20-10-2019-15:26:26,,b'',,R reward
20-10-2019-15:26:36,play,b'',,R reward
20-10-2019-15:26:46,,b'',,R reward
20-10-2019-15:26:56,play,b'',,R reward
20-10-2019-15:27:06,,b'',,R reward
20-10-2019-15:27:16,play,b'',,R reward
20-10-2019-15:27:26,,b'',,R reward
20-10-2019-15:27:36,play,b'',,R reward
20-10-2019-15:27:46,,b'',,R reward
20-10-2019-15:27:57,,b'',,R reward
20-10-2019-15:27:58,play,,,R reward
20-10-2019-15:28:08,,b'',,R reward
20-10-2019-15:28:19,play,b'',,R reward
20-10-2019-15:28:29,,b'',,R reward
20-10-2019-15:28:40,play,b'',,R reward
20-10-2019-15:28:51,,b'',,R reward
20-10-2019-15:29:02,play,b'',,R reward
20-10-2019-15:29:12,,b'',,R reward
20-10-2019-15:29:23,,b'',,R reward
20-10-2019-15:29:24,play,,,R reward
20-10-2019-15:29:34,,b'',,R reward
20-10-2019-15:29:45,play,b'',,R reward
20-10-2019-15:29:55,,b'',,R reward
20-10-2019-15:30:06,,b'',,R reward
20-10-2019-15:30:07,play,,,R reward
20-10-2019-15:30:18,,b'',,R reward
20-10-2019-15:30:28,play,b'',,R reward
20-10-2019-15:30:38,,b'',,R reward
20-10-2019-15:30:49,,b'',,R reward
20-10-2019-15:30:50,play,,,R reward
20-10-2019-15:31:06,,b'',,R reward
20-10-2019-15:31:16,play,b'',,R reward
20-10-2019-15:31:26,,b'',,R reward
20-10-2019-15:31:36,play,b'',,R reward
20-10-2019-15:31:46,,b'',,R reward
20-10-2019-15:31:56,play,b'',,R reward
20-10-2019-15:32:06,,b'',,R reward
20-10-2019-15:32:16,play,b'',,R reward
20-10-2019-15:32:26,,b'',,R reward
20-10-2019-15:32:36,play,b'',,R reward
20-10-2019-15:32:46,,b'',,R reward
20-10-2019-15:32:56,play,b'',,R reward
20-10-2019-15:33:06,,b'',,R reward
20-10-2019-15:33:16,play,b'',,R reward
20-10-2019-15:33:26,,b'',,R reward
20-10-2019-15:33:36,play,b'',,R reward
20-10-2019-15:33:46,,b'',,R reward
20-10-2019-15:33:56,play,b'',,R reward
20-10-2019-15:34:06,,b'',,R reward
20-10-2019-15:34:16,play,b'',,R reward
20-10-2019-15:34:26,,b'',,R reward
20-10-2019-15:34:36,play,b'',,R reward
20-10-2019-15:34:46,,b'',,R reward
20-10-2019-15:34:56,play,b'',,R reward
20-10-2019-15:35:06,,b'',,R reward
20-10-2019-15:35:16,play,b'',,R reward
20-10-2019-15:35:26,,b'',,R reward
20-10-2019-15:35:36,play,b'',,R reward
20-10-2019-15:35:46,,b'',,R reward
20-10-2019-15:35:56,play,b'',,R reward
20-10-2019-15:36:06,,b'',,R reward
20-10-2019-15:36:16,play,b'',,R reward
20-10-2019-15:36:26,,b'',,R reward
20-10-2019-15:36:36,play,b'',,R reward
20-10-2019-15:36:46,,b'',,R reward
20-10-2019-15:36:56,play,b'',,R reward
20-10-2019-15:37:06,,b'',,R reward
20-10-2019-15:37:16,play,b'',,R reward
20-10-2019-15:37:26,,b'',,R reward
20-10-2019-15:37:36,play,b'',,R reward
20-10-2019-15:37:46,,b'',,R reward
20-10-2019-15:37:56,play,b'',,R reward
20-10-2019-15:38:06,,b'',,R reward
