,time,signal,bat_id_1,bat1_loc,bat_id_2,bat2_loc,pump,condition
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:30,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:31,play,,,,,,cond
new_row,12-11-2019-19:56:32,play,,,,,,cond
